商品ｺｰﾄﾞ,商品名,商品名索引,単位,個数単位,主仕入先ｺｰﾄﾞ
S721136I00501,ﾉﾊﾞﾃｯｸLD LF342M,ﾉﾊﾞﾃｯｸ,ｋｇ,,721136
S721136I00601,B3190-3 ﾌﾞﾗｯｸ,B3190-3ﾌﾞﾗ,ｋｇ,,721136
S721136I00602,B3190-3 ｼﾙﾊﾞｰ,B3190-3ｼﾙ,ｋｇ,,721136
S721136I00603,B3190-3 ｸﾞﾚｰ,B3190-3ｸﾞﾚ,ｋｇ,,721136
S721136I00604,B3190-3 ﾀﾞｰｸﾌﾞﾗｳﾝ,B3190-3ﾀﾞｰ,ｋｇ,,721136
S721136K00100,脂肪酸ｱﾏｲﾄﾞT(15㎏/袋）,,,,721136
S721196B00301,SCｶﾗｰ ｸﾞﾚｰ 79-28-D465 5%,SCｶﾗｰ,ｋｇ,ｋｇ,721196
S721196B00401,Pﾀﾙｸ(膨張性黒鉛に使用),Pﾀﾙｸ,ｋｇ,ｋｇ,721196
S721196D00101,59-28-C987 ｸﾞﾚｰ ﾀｲﾔﾄﾞﾗｲｶﾗｰ,,,,721196
S721196I00101,DM2104VUR A7AANS 100kg/回 SK,DM2104VUR,ｋｇ,,721196
S721196I00102,DM2108VUR A775NS 25kg/回 SK,DM2108VUR,ｋｇ,,721196
S721196I00103,DM2204VUR A7AZNS 25kg/回 SK,DM2204VUR,ｋｇ,,721196
S721196I00104,DM2204VUR A7AZNS 100kg/回 SK,DM2204VUR,ｋｇ,,721196
S721196I00401,ﾉﾊﾞﾚｯｸｽ M7027U 100kg未満 SK,M7027U,ｋｇ,,721196
S721196I00402,ﾉﾊﾞﾚｯｸｽ M7027U 100kg以上 SK,M7027U,ｋｇ,,721196
S721196I00501,ﾊｲﾄﾙｸﾅｯﾄ HTN-12,HTN-12,個,,721196
S721196I00502,ﾊｲﾄﾙｸﾅｯﾄ HTN-16,HTN-16,個,,721196
S721196I00601,ﾕｰﾋﾟｰﾛﾝ EFD2110U 100kg未満,ﾕｰﾋﾟｰﾛﾝ,ｋｇ,ｋｇ,721196
S721196I00602,ﾕｰﾋﾟｰﾛﾝ EFD2110U 難燃PC拡散ｸﾞﾚｰﾄﾞ SK,ﾕｰﾋﾟｰﾛﾝ,ｋｇ,ｋｇ,721196
S721196I00603,ﾕｰﾋﾟﾛﾝ CFH2030 100kg未満,ﾕｰﾋﾟｰﾛﾝ,ｋｇ,ｋｇ,721196
S721196I00604,ﾕｰﾋﾟﾛﾝ CFH2030 100kg以上,ﾕｰﾋﾟｰﾛﾝ,ｋｇ,ｋｇ,721196
S721196I00605,ﾕｰﾋﾟﾛﾝ DS-3002R 白 7011A 100k未満 SK,ﾕｰﾋﾟﾛﾝ DS-,ｋｇ,,721196
S721196I00606,ﾕｰﾋﾟﾛﾝ DS-3002R 白 7011A 100kg SK,ﾕｰﾋﾟﾛﾝ DS-,ｋｇ,,721196
S721196I00607,ﾕｰﾋﾟﾛﾝ E-2000N 100kg未満　SK,E-2000N,ｋｇ,,721196
S721196I00608,ﾕｰﾋﾟﾛﾝ E-2000N 100kg以上　SK,E-2000N,ｋｇ,,721196
S721196I00609,ﾕｰﾋﾟﾛﾝ Eｰ2000VUR 100kg未満 SK,Eｰ2000VUR,ｋｇ,,721196
S721196I00610,ﾕｰﾋﾟﾛﾝ Eｰ2000VUR 100kg以上 SK,Eｰ2000VUR,ｋｇ,,721196
S721196I00611,ﾕｰﾋﾟﾛﾝ EFT2200U(100kg未満) SK,ﾕｰﾋﾟﾛﾝ,ｋｇ,,721196
S721196I00612,ﾕｰﾋﾟﾛﾝ EFT2200U(100kg以上) SK,ﾕｰﾋﾟﾛﾝ,ｋｇ,,721196
S721196I00613,ﾕｰﾋﾟﾛﾝ EKD2108U A7BSNS 100kg未満 SK,EKD2108U,ｋｇ,,721196
S721196I00614,ﾕｰﾋﾟﾛﾝ EKD2108U A7BSNS 100kg以上 SK,EKD2108U,ｋｇ,,721196
S721196I00615,ﾕｰﾋﾟﾛﾝ EKD2115U A7CJNS 100㎏未満 SK,EKD2115U,ｋｇ,,721196
S721196I00616,ﾕｰﾋﾟﾛﾝ EKD2115U A7CJNS 100㎏以上 SK,EKD2115U,ｋｇ,,721196
S721196I00701,ﾘｹﾏｽﾀｰMX-010,ﾘｹﾏｽﾀｰMX-0,ｋｇ,ｋｇ,721196
S721196I00702,ﾘｹﾏｽﾀｰEXR-060,ﾘｹﾏｽﾀｰEXR-,ｋｇ,ｋｇ,721196
S721196I00801,再生ABS(黒),ｻｲｾｲABSｸﾛ,ｋｇ,ｋｇ,721196
S722035D00100,ﾆﾎﾝﾌﾟﾗｽ FS-40%E ﾀﾞｲｺﾝA (DINP),ﾀﾞｲｺﾝA,kg,,722035
S722035D00200,ﾆﾎﾝﾌﾟﾗｽ FS-70%E ﾋﾔﾑｷﾞ (DINP),ﾋﾔﾑｷﾞ,kg,,722035
S722035D00300,ﾆﾎﾝﾌﾟﾗｽ FS-70%E 青ﾈｷﾞ(濃い) (DINP),ｺｲｱｵﾈｷﾞ,kg,,722035
S722035D00400,ﾆﾎﾝﾌﾟﾗｽ FS-70%E 青ﾈｷﾞ-2(薄い) (DINP),ｳｽｲｱｵﾈｷﾞ,kg,,722035
S722035D00500,ﾆﾎﾝﾌﾟﾗｽ FS-70%E 白ﾈｷﾞ (DINP),ｼﾛﾈｷﾞ,kg,,722035
S722035D00600,ﾆﾎﾝﾌﾟﾗｽ FS-70%F ｳﾄﾞﾝD-4 (DINP),ｳﾄﾞﾝD-4,kg,,722035
S722035D00700,ﾆﾎﾝﾌﾟﾗｽ FS-70%F ｳﾄﾞﾝD-5 (DINP),ｳﾄﾞﾝD-5,kg,,722035
S722035D00800,ﾆﾎﾝﾌﾟﾗｽ TM-80%G ｳﾄﾞﾝD-6 特注 非ﾌﾀﾙ酸,ｳﾄﾞﾝD-6,kg,,722035
S722035D00900,ﾆﾎﾝﾌﾟﾗｽ FS-89%E ｿｳﾒﾝ (DINP),ｿｳﾒﾝ,kg,,722035
S722035D01000,ﾆﾎﾝﾌﾟﾗｽ FS-89%E ｿﾊﾞ (DINP),ｿﾊﾞ,kg,,722035
S722035D01001,ﾆﾎﾝﾌﾟﾗｽ TM-94%G ｿﾊﾞ3 特注色 非ﾌﾀﾙ酸,ｿﾊﾞ,kg,,722035
S722035D01100,ﾆﾎﾝﾌﾟﾗｽ FS-89%E ﾊﾙｻﾒ3 (DINP),ﾊﾙｻﾒ3,kg,,722035
S722035D01101,ﾆﾎﾝﾌﾟﾗｽ TM-94%G ﾊﾙｻﾒ4 特注色 非ﾌﾀﾙ酸,ﾊﾙｻﾒ,kg,,722035
S722035D01200,ﾆﾎﾝﾌﾟﾗｽ FS-89%E 黄ｽﾊﾟ (DINP),ｷｽﾊﾟ,kg,,722035
S722035D01300,ﾆﾎﾝﾌﾟﾗｽ FS-89%E 黄ｽﾊﾟ2 特注色 (DINP),ｷｽﾊﾟ2,kg,,722035
S722035D01400,ﾆﾎﾝﾌﾟﾗｽ FS-89%E 白ｽﾊﾟ (DINP),ｼﾛｽﾊﾟ,kg,,722035
S722035D01500,ﾆﾎﾝﾌﾟﾗｽ FS-89%E 赤ｽﾊﾟ (DINP),ｱｶｽﾊﾟ,kg,,722035
S722035D01501,ﾆﾎﾝﾌﾟﾗｽ TM-94%G 赤ｽﾊﾟ2,ｱｶｽﾊﾟ,kg,,722035
S722035D01600,ﾆﾎﾝﾌﾟﾗｽ FS-89%E 黄ｿﾊﾞB (DINP),ｷｿﾊﾞB,kg,,722035
S722035D01700,ﾆﾎﾝﾌﾟﾗｽ FS-89%E 黄ｿﾊﾞC (DINP),ｷｿﾊﾞC,kg,,722035
S722035D01800,ﾆﾎﾝﾌﾟﾗｽ FS-89%E 黄ｿﾊﾞE 特注色 (DINP),ｷｿﾊﾞE,kg,,722035
S722035D01900,ﾆﾎﾝﾌﾟﾗｽ TM-94%G 赤ｼｮｳｶﾞ 特注 非ﾌﾀﾙ酸,ｱｶｼｮｳｶﾞ,kg,,722035
S722035D01901,ﾆﾎﾝﾌﾟﾗｽ TM-94%G ﾋﾟﾝｸｼｮｳｶﾞ 特 非ﾌﾀﾙ酸,ﾋﾟﾝｸｼｮｳｶﾞ,kg,,722035
S722035D02000,ﾆﾎﾝﾌﾟﾗｽ FS-89%E ﾅﾏﾊﾟﾝｺ 特注色 (DINP),ﾅﾏﾊﾟﾝｺ,kg,,722035
S722035D02100,ﾆﾎﾝﾌﾟﾗｽ FS-89%E 黄ﾊﾟﾝｺ 特注色 (DINP),ｷﾊﾟﾝｺ,kg,,722035
S722035D02200,ﾆﾎﾝﾌﾟﾗｽ FS-89%E ｿﾊﾞ2 特注色 (DINP),ｿﾊﾞ2,kg,,722035
S722035D02300,ﾆﾎﾝﾌﾟﾗｽ FS-70％E　ｷｬﾍﾞﾂ緑,ｿﾊﾞ2,kg,,722035
S722035D02400,ﾆﾎﾝﾌﾟﾗｽ FS-89%Eﾆﾝｼﾞﾝ,ｿﾊﾞ2,kg,,722035
S722035D03000,ｺﾝﾄﾞｳｶｶﾞｸ ｸﾞﾚｰﾍﾞｰｼﾞｭ:KTAｺﾞｰﾙﾄﾞ 200kg,ｺﾝﾄﾞｳｶｶﾞｸ,kg,,722035
S722035D03001,ｺﾝﾄﾞｳｶｶﾞｸ ﾎﾜｲﾄ:KTAﾎﾜｲﾄ2 200kg～,ｺﾝﾄﾞｳｶｶﾞｸ,kg,,722035
S722035D03002,ｺﾝﾄﾞｳｶｶﾞｸ ﾀﾞｰｸﾌﾞﾗｳﾝ:KTAﾀﾞｰｸﾌﾞﾗｳﾝ 200,ｺﾝﾄﾞｳｶｶﾞｸ,kg,,722035
S722035D10000,ﾆﾎﾝﾌﾟﾗｽ HTR-40,,,,722035
S722035D10100,ﾆﾎﾝﾌﾟﾗｽ HTR-4055,htr-4055 #,kg,,722035
S722035D10200,ﾆﾎﾝﾌﾟﾗｽ K-5 SDC　ﾎﾜｲﾄ,,,,722035
S722035D10300,ﾆﾎﾝﾌﾟﾗｽ KT-1007 黒,,,,722035
S722035D10400,ﾆﾎﾝﾌﾟﾗｽ LA2250 SPO-2%,LA2250SPO2,kg,,722035
S722035D10500,ﾆﾎﾝﾌﾟﾗｽ LA2330-KE20%ﾌﾞﾚﾝﾄﾞ,,,,722035
S722035D10501,ﾆﾎﾝﾌﾟﾗｽ LA2330 SX-10%,,,,722035
S722035D10600,ﾆﾎﾝﾌﾟﾗｽ FS-70%E ｺﾞﾊﾝ#80 (DINP),ｺﾞﾊﾝ,kg,,722035
S722035D10700,ﾆﾎﾝﾌﾟﾗｽ　PX-90B 透明-1,,kg,,722035
S722035D90300,T-070F R-1,T-070f r-1,kg,,722035
S722035D90400,T-070F BK-1,t-070f bk-,kg,,722035
S722035D90500,T-075G N,t-075,kg,㎏,722035
S722035D90501,CRK-4720-570 ｸﾛ,CRK-4720-5,kg,,722035
S722035D90601,EG021B6（9KE553-1）(ﾌﾟﾗｽﾃｸ)(150kg～,EG021B6,kg,,722035
S722035D90602,EG021D0（9KE554-1）(ﾌﾟﾗｽﾃｸ)(190kg～,EG021D0,kg,,722035
S722035I00101,TK-2610 ﾊﾞｲｵﾚｯﾄ,TK-2610,kg,kg,722035
S722035I00201,ｻｰﾓﾌﾟﾚﾝ B25E,ｻｰﾓﾌﾟﾚｰﾝ,kg,,722035
S722035I00202,ｻｰﾓﾌﾟﾚﾝ B35E,ｻｰﾓﾌﾟﾚｰﾝ,kg,,722035
S722035I00203,ｻｰﾓﾌﾟﾚｰﾝ B45E(ｴﾗｽﾄﾏｰ),ｻｰﾓﾌﾟﾚｰﾝ,kg,,722035
S722035I00204,ｻｰﾓﾌﾟﾚﾝ B55E,ｻｰﾓﾌﾟﾚｰﾝ,kg,,722035
S722035I00205,ｻｰﾓﾌﾟﾚﾝ N40E,ｻｰﾓﾌﾟﾚｰﾝ,kg,,722035
S723086I00101,HE6036 B1,HE6036,ｋｇ,,723086
S723086I00102,HE6036 C1,HE6036,ｋｇ,,723086
S723086I00103,HE6036 DB1,HE6036,ｋｇ,,723086
S723086I00104,HE6036 LB1,HE6036,ｋｇ,,723086
S723116I00101,ﾍﾟﾚｯﾄ (ｼﾞｮｲﾝﾄｻﾈ材・T字ｼﾞｮｲﾅｰ用),ﾍﾟﾚｯﾄ,ｋｇ,,723116
S723116I00102,粉砕品原料(錫入)　白,ﾌﾝｻｲﾋﾝ,ｋｇ,,723116
S723135D00401,KSA110LT 60x520m 門真,Kｻ110LT 16,,,723135
S723135D00601,EK100KB 60×520M ﾘﾝﾃｯｸ剥離紙（黄）,EK100KB 60,,巻,723135
S723135D00701,PET75X1-VOU 220X220mm（500枚）,PET75X1-VO,枚,,723135
S723135D00702,PET75X1-VOU 350X350mm（280枚）,PET75X1-VO,枚,,723135
S723135D00801,Y-4180-04 12X33M,y-4180-04,巻,,723135
S723135D00901,PET50X1-CBD-TMO 20mm×500m（104R）,PET50X1-CB,R,,723135
S723135D00902,PET50X1-CBD-TMO 20mm×500m（208R）,PET50X1-CB,R,,723135
S723135D00903,PET50X1-CBD-TMO 20mm×500m（312R）,PET50X1-CB,R,,723135
S723135D01001,ｻﾝﾄｯｸｽRS72#70 12mmx250m ｽﾘｯﾄ加工費,ｻﾝﾄｯｸｽRS72,R,,723135
S723135D01102,HDﾎﾟﾘｾﾊﾟ0.03T　18㎜×16巻,,,,723135
S723135D01201,寺岡No.761 4mm×50m（6巻～）,,巻,,723135
S723135D01301,DIC815ECO-A 4mm×50m（6巻～）,,巻,,723135
S723135D01401,#7641（ﾃﾗｵｶ）幅4㎜×50m（20巻）,,巻,,723135
S723136D00101,ｻﾝﾄｯｸｽRW82#70 15x250m,ｻﾝﾄｯｸｽrw82,R,,723116
S723136D00102,ｻﾝﾄｯｸｽRW82#70 15X180M,ｻﾝﾄｯｸｽrw82,R,,723116
S723136D00103,ｻﾝﾄｯｸｽRW82#70 15X70M,ｻﾝﾄｯｸｽrw82,R,,723116
S723136D00201,ｻﾝﾄｯｸｽRS82#70 12x250m,ｻﾝﾄｯｸｽrw82,R,,723116
S723136D00301,ﾙﾐﾗｰS10(PETﾌｨﾙﾑ50μ)幅175×100×5R,,R,,723116
S723136D00302,ﾙﾐﾗｰS10(PETﾌｨﾙﾑ50μ)幅130×100×7R,,R,,723116
S723145B00101,WF070 18mm*50m/巻（52巻/cs）,WF070 18mm,,巻,723145
S723145B00102,WF070 13mm*50m/巻（76巻/cs）,WF070 13mm,巻,c/s,723145
S723145B00103,WF070 8mm*50m/巻（124巻/cs）,WF070 8mm,巻,c/s,723145
S723145B00104,WF070 8mm×200m巻 30巻入 ﾛｯﾄ:120巻,WF070 10mm,巻,c/s,723145
S723145B00201,WF722 8mm×30m巻　ﾛｯﾄ:62巻※単価確認,WF722,,巻,723145
S723145B00202,WF722 8mm×30m巻　ﾛｯﾄ:310巻,WF722,,巻,723145
S723145B00203,WF722 8mm×30m巻　ﾛｯﾄ:620巻※単価確,WF722,,巻,723145
S723145D00101,WF070 8mm*50m/巻（124巻/cs）,,,巻,723145
S723145D00102,WF070 13mm*50m/巻（76巻/cs）,WF070 13MM,,巻,723145
S723145D00103,WF070 18mm*50m/巻（52巻/cs）,WF-070 18M,,巻,723145
S723145D00104,WF070-1050 20m,,,,723145
S731015D00101,HLP-C,hlp-c,kg,,731015
S732065D00501,NO.507 10X100,,,,732065
S732065D00601,OPPﾃｰﾌﾟ ﾆﾁﾊﾞﾝ 50x50(透明) #640-PF,,,,732065
S732065D00602,OPPﾃｰﾌﾟ黒 50x100,,,,732065
S732065D00801,ｸﾗﾌﾄﾃｰﾌﾟ#228 50x50 緑,,,,732065
S732065D01301,ﾅｲｽﾃｰﾌﾟ50x1000 #50 (OSﾃｰﾌﾟ),,,,732065
S732065D01401,ﾆﾁﾊﾞﾝｾﾛﾃｰﾌﾟ 18x35 #405,,,,732065
S734016I00101,SPV-363ﾄｳﾒｲ 24*100 次回単価確認,ﾃｰﾌﾟ,巻,,734016
S734016I00102,SPV-C-100 ﾄｳﾒｲ 22*100,ﾃｰﾌﾟ,個,,734016
S734016I00103,SPV-C-100 ﾄｳﾒｲ 45*100,ﾃｰﾌﾟ,巻,,734016
S734072D00101,SME-55F-ﾎﾜｲﾄ(発砲),,,,734072
S734072D00201,AES-SK50-MW (023383),,,,734072
S734072D00202,AES-SK50 ｸﾛ (930229),,,,734072
S734072D00203,AES-SK50 ｱｲﾎﾞﾘｰ(IVR)023884,,,,734072
S734072D00204,AES-SK50 081947　ﾌﾞﾗｳﾝ,,,,734072
S734072I00101,SK-50 023383 ﾐﾙｷｰﾎﾜｲﾄ,SK-50,ｋｇ,ｋｇ,734072
S734072I00102,SK-50 023884 ｱｲﾎﾞﾘｰ,SK-50,ｋｇ,ｋｇ,734072
S734072I00103,SK-50 081947 ﾌﾞﾗｳﾝ,SK-50,ｋｇ,ｋｇ,734072
S734072I00104,SK-50 930229 ﾌﾞﾗｯｸ,SK-50,ｋｇ,ｋｇ,734072
S734072I00105,SK-50 HUA2540A ｼｬｲﾝｸﾞﾚｰ,SK-50,ｋｇ,ｋｇ,734072
S734166I00101,信越ｼﾘｺｰﾝ KM-785 15kg,ｼﾘｺﾝ,缶,,734166
S734225D00101,PETﾄﾘｺｯﾄ1150（c/#131）幅175mmLOT300m,,,,734225
S734225D00102,PETﾄﾘｺｯﾄ1150（c/#108）幅175mmLOT300m,,,,734225
S734225D00201,ﾊﾞｯｸﾊｰﾌEF550(T397) 幅175mmLOT500m,,,,734225
S740065D00101,剥離用ﾌｨﾙﾑ OPP50 13x1000m(IH用),,,,740065
S740065D00102,剥離用ﾌｨﾙﾑ OPP50 1000mx72巻(IH用),,,,740065
S741035D00101,ﾃｸﾉﾒﾙﾄ PS9510 (ﾛｯﾄ:100kg～),ﾃｸﾉﾒﾙﾄ,kg,,741035
S741035I00101,ALADDIN ｽﾊﾟｲﾀﾞｰｶﾞｰﾄﾞ,ALADOIN,kg,,741035
S741035I00103,ﾀﾞｲｱﾐﾄﾞ L2121W　ﾅﾁｭﾗﾙ,ﾀﾞｲｱﾐﾄﾞ L2,kg,,741035
S741035I00104,ﾃｸﾉﾒﾙﾄ PS9510 (ﾛｯﾄ:100kg～)石狩入れ,ﾃｸﾉﾒﾙﾄ,kg,,741035
S741062I00101,ARINIXⅡ NIXAM410,ARINIX,ｋｇ,,741062
S741062I00201,住友3M VHBﾃｰﾌﾟ Y4945 15W*11M,VHBﾃｰﾌﾟ,巻,巻,741062
S741101D00101,ﾊｲﾎﾞﾝXH005-6YB 10kg,ﾊｲﾎﾞﾝxh005,kg,,741101
S741101D00102,ﾊｲﾎﾞﾝ9955 20KG,ﾊｲﾎﾞﾝxh005,kg,,741101
S741152I00101,ｴｸｽﾊﾟﾝｾﾙ(930)MB120,ｴｸｽﾊﾟﾝｾﾙ,ｋｇ,,741156
S750012I00101,ﾌﾛﾛｻｰﾌ FG-3030TH-8.0,FG-3030TH,ｋｇ,,750016
S750112I00101,ﾏｽﾀﾊﾞｯﾁ DB14-28-7569 ﾚﾌﾞﾘｶﾛｰｾﾞｸﾞﾚｰ,ﾏｽﾀﾊﾞｯﾁ DB,kg,,750112
S750112I00201,消音樹脂材用ABS CHIMNEI PA-757,ｼｮｳｵﾝｼﾞｭｼｻ,kg,,750112
S752015D00101,EXP-32S160（富士黒鉛工業）ﾛｯﾄ:25kg～,EXP-32S160,kg,,752015
S752015D00102,EXP-32S160（富士黒鉛工業）ﾛｯﾄ:10kg～,EXP-32S160,kg,,752015
S752015D00201,EXP-50S150（富士黒鉛工業）ﾛｯﾄ:25kg～,EXP-50S150,kg,,752015
S752015D00202,EXP-50S150（富士黒鉛工業）ﾛｯﾄ:10kg～,EXP-32S160,kg,,752015
S752015D00203,EXP-50S150（富士黒鉛工業)ﾛｯﾄ:1000kg,EXP-50s150,kg,,752015
S752132I00101,ｱｻｸﾘﾝEX 25kg,ｱｻｸﾘﾝEX 25,袋,kg,752136
S753082I00101,(PP)粉砕ﾙｰﾀﾞｰ加工,PP,ｋｇ,,754086
S753082I00102,HD 雑色(中密度ﾎﾟﾘｴﾁﾚﾝ M-DPE),HD ｻﾞｯｼｮｸ(,ｋｇ,ｋｇ,754086
S753082I00103,再生LDPE原料 雑色,ｻｲｾｲLDPE,ｋｇ,,754086
S753082I00104,再生高圧原料（雑色）　北海樹脂,ｻｲｾｲ,ｋｇ,,754086
S760195D00101,ﾎﾞﾝﾄﾞ MU-90,,kg,kg,760195
S761071D00101,ｻﾝｱﾛｰ ATTK41-N1 ｸﾞﾚｰﾍﾞｰｼﾞｭ 200kg～,,ｋｇ,ｋｇ,761071
S761071D00102,ｻﾝｱﾛｰ ATTK41-W1 ﾎﾜｲﾄ 200kg～,,ｋｇ,ｋｇ,761071
S761071D00103,ｻﾝｱﾛｰ ATTK41-T1 ﾀﾞｰｸﾌﾞﾗｳﾝ 200kg～,,ｋｇ,ｋｇ,761071
S761071I00101,SE4545-W2　M,SE4545-W2,ｋｇ,ｋｇ,761071
S761071I00201,SE151W-W1 M,SE151W-W1,ｋｇ,ｋｇ,761071
S761071I00301,A-2330-S02 ﾌﾞﾗｯｸ　M,A-2330-S02,ｋｇ,ｋｇ,761071
S764035B00101,G297F Vｸﾘｰﾑ 9-0271,G297F,ｋｇ,,764035
S764062I00101,AES117 K-3　7D5750 ﾌﾞﾗｳﾝ 300kg未満,AES117 K-3,Kg,Kg,764066
S764062I00102,AES117 K-3　7D5750 ﾌﾞﾗｳﾝ 300g以上,AES117 K-3,Kg,Kg,764066
S764062I00103,AES117 K-3　9D8030 ﾌﾞﾗｯｸ 300kg未満,AES117 K-3,Kg,Kg,764066
S764062I00104,AES117 K-3　9D8030 ﾌﾞﾗｯｸ 300kg以上,AES117 K-3,Kg,Kg,764066
S764062I00105,AES117 K-3　CB4310 ｱｲﾎﾞﾘｰ 300kg未満,AES117 K-3,Kg,Kg,764066
S764062I00106,AES117 K-3　CB4310 ｱｲﾎﾞﾘｰ 300kg以上,AES117 K-3,Kg,Kg,764066
S764062I00107,AES117 K-3 MADT90 ｼｬｲﾝｸﾞﾚｰ 300kg未満,AES117 K-3,Kg,Kg,764066
S764062I00108,AES117 K-3 MADT90 ｼｬｲﾝｸﾞﾚｰ 300kg以上,AES117 K-3,Kg,Kg,764066
S764062I00109,AES117 K-3　OD7960 ﾎﾜｲﾄ 300kg未満,AES117 K-3,Kg,Kg,764066
S764062I00110,AES117 K-3　OD7960 ﾎﾜｲﾄ 300kg以上,AES117 K-3,Kg,Kg,764066
S764062I00201,EV-560 NA (ｴﾊﾞﾌﾚｯｸｽ),EV-560,ｋｇ,,764066
S764062I00301,HZﾐﾘｵﾝ 240S,HZﾐﾘｵﾝ,ｋｇ,,764066
S764062I00401,ﾐﾗｽﾄﾏｰ6030B,ﾐﾗｽﾄﾏｰ,ｋｇ,,764066
S764062I00402,ﾐﾗｽﾄﾏｰM2400B,ﾐﾗｽﾄﾏｰ,ｋｇ,,764066
S770091D00101,ﾆﾄﾑｽﾞ向ﾛｰﾗｰ原料,ﾆﾄﾑｽﾞﾑｹﾛｰﾗ,kg,,770051
