商品ｺｰﾄﾞ,商品名,商品名索引,単位,得意先(検索)ｺｰﾄﾞ,得意先(検索)名,,
700031D001001,すきま風防止ﾃｰﾌﾟｸﾘｱ H-2101用 A40400A,ｽｷﾏｶｾﾞﾎﾞｳｼ,枚,70031,ｱｰﾙ,"
",
700151K001001,RIGID-PIN E2A0522-4,ﾘｼﾞｯﾄﾞﾋﾟﾝ,個,770012,安達新産業,"
",
700201D001001,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞ 100m巻 W,ﾒｶｸｼﾌｪﾝｽﾖｳ,巻,70020,朝日ｽﾁｰﾙ工業,"
",
700201D001002,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞ 100m巻 DBR,ﾒｶｸｼﾌｪﾝｽﾖｳ,巻,70020,朝日ｽﾁｰﾙ工業,"
",
700201D001003,目隠ｼﾌｪﾝｽ用3ﾐﾘﾊﾟﾈﾙ用ﾋﾞｰﾄﾞ100m巻 GLBE,ﾒｶｸｼﾌｪﾝｽﾖｳ,巻,70020,朝日ｽﾁｰﾙ工業,"
",
701041D001001,TKZP10 H13-40W10 50Mx15R,tkzp10 h13,,701041,伊藤忠ﾌﾟﾗ,"
",
701041D002001,ｹｰﾌﾞﾙﾍﾞﾔ TKZP10H13-40W10(50M),ｹ,M,701041,伊藤忠ﾌﾟﾗ,"
",
701041D002002,ｹｰﾌﾞﾙﾍﾞﾔ TKZP10H13-40W15(50M),ｹ,M,701041,伊藤忠ﾌﾟﾗ,"
",
701041D002003,ｹｰﾌﾞﾙﾍﾞﾔ TKZP10H13-40W20(30M),ｹ,M,701041,伊藤忠ﾌﾟﾗ,"
",
701041D003001,ｹｰﾌﾞﾙﾍﾞﾔ TKZP10H13-40W25(30M),ｹ,M,701041,伊藤忠ﾌﾟﾗ,"
",
701041D003002,ﾄﾑｿﾝ刃 押出ｹｰﾌﾞﾙﾍﾞｱ W20 追加工用,ﾄﾑｿﾝﾊｵｼﾀﾞｼ,,701041,伊藤忠ﾌﾟﾗ,"
",
701041D003003,ﾄﾑｿﾝ刃 押出ｹｰﾌﾞﾙﾍﾞｱ W25 追加工用,ﾄﾑｿﾝﾊ ｵｼﾀﾞ,,701041,伊藤忠ﾌﾟﾗ,"
",
701041D004001,押出ﾍﾞｱ TKZP W20/金型,,式,701041,伊藤忠ﾌﾟﾗ,"
",
701041D004002,押出ﾍﾞｱ TKZP W25/金型,ｵｼﾀﾞｼﾍﾞｱ T,式,701041,伊藤忠ﾌﾟﾗ,"
",
701041D004003,押出ﾍﾞｱ(ｼﾞｯﾊﾟｰ3層押出成形品W20 20x13,ｵｼﾀｼﾍﾞｱ(ｼﾞ,ｍ,701041,伊藤忠ﾌﾟﾗ,"
",
701041D004004,押出ﾍﾞｱ(ｼﾞｯﾊﾟｰ3層押出成形品W25 25x13,ｵｼﾀｼﾍﾞｱ(ｼﾞ,ｍ,701041,伊藤忠ﾌﾟﾗ,"
",
701041D004005,押出ﾍﾞﾔ TKZP 10H13-40W10,,,701041,伊藤忠ﾌﾟﾗ,"
",
701041D004006,押出ﾍﾞﾔ TKZP10H13-40W15(50m),,,701041,伊藤忠ﾌﾟﾗ,"
",
703062I001001,PCﾊﾟｲﾌﾟ25φ t=0.9 500本/回,PCﾊﾟｲﾌﾟ25,本,703062,エービーシステム㈱,"
",
703062I001002,PCﾊﾟｲﾌﾟ25φ t=0.9 1000本/回,PCﾊﾟｲﾌﾟ25,本,703062,エービーシステム㈱,"
",
703062I001003,PCﾊﾟｲﾌﾟ25φ t=0.9 3000本/回,PCﾊﾟｲﾌﾟ25,本,703062,エービーシステム㈱,"
",
703062I001004,PCﾊﾟｲﾌﾟ25φ t=0.9 10000本/回,PCﾊﾟｲﾌﾟ25,本,703062,エービーシステム㈱,"
",
703141D001001,2mm板用ｴｯｼﾞｶﾊﾞｰ(粘着付)L=1250,2mm｣ｲﾀﾖｳｴｯ,本,,,"
",
703141D001002,2mm板用ｴｯｼﾞｶﾊﾞｰ(粘着付)L=1260,2mm｣ｲﾀﾖｳｴｯ,本,,,"
",
703141D001003,2mm板用ｴｯｼﾞｶﾊﾞｰ(粘着付)L=1550,2mm｣ｲﾀﾖｳｴｯ,本,,,"
",
711092I001001,F-201LEDｶﾊﾞｰK-1003 L=1220(乳白)/500,K-201 LEDｶ,本,711092,KISCO,"
",
711092I001002,F-201LEDｶﾊﾞｰK-1003 L=1220(乳白)/1000,K-201 LEDｶ,本,711092,KISCO,"
",
711092I001003,F-201LEDｶﾊﾞｰK-1003 L=1220(乳白)/2000,K-201 LEDｶ,本,711092,KISCO,"
",
711092I001004,F-201LEDｶﾊﾞｰK-1003 L=1220(乳白)/6000,K-201 LEDｶ,本,711092,KISCO,"
",
711092I002001,FP-002 LEDｶﾊﾞｰ L=1245 乳白/1000本,FP-002 LED,本,711092,KISCO,"
",
711092I003001,K-201LEDｶﾊﾞｰ K-1003 L=1220 ｸﾘｱ/1000,K-201 LEDｶ,本,711092,KISCO,"
",
711092I003002,K-201LEDｶﾊﾞｰ K-1003 L=1220 ｸﾘｱ/2000,K-201 LEDｶ,本,711092,KISCO,"
",
711092I003003,K-201LEDｶﾊﾞｰ K-1003 L=1220 ｸﾘｱ/6000,K-201 LEDｶ,本,711092,KISCO,"
",
711092I004001,FP-12-2 LEDｶﾊﾞｰ L=138 切断加工,fp-12-2 ｪd,本,711092,KISCO,"
",
711171I001004,人通孔ﾊﾟｯｷﾝ ｴﾝﾄﾞﾚｽ用 200m,ｼﾞﾝﾂｳｺｳ,m,,,"
",
712061D008001,"""36330-63331ﾎｺﾞｺﾞﾑPSﾊﾟｲﾌﾟ1袋(10","000以""",,,712061,ｸﾘﾔﾏOEM,"
"
712122I006002,"""ｶﾞﾗｽﾗｲﾅｰ 1.5mm L=53 ｶｯﾄ 50","000個~""",ｶﾞﾗｽﾗｲﾅｰ,個,712122,ｸﾚﾄｲｼ,"
"
712122I007002,"""ｶﾞﾗｽﾗｲﾅｰ 2.0mm L=53 ｶｯﾄ 50","000個~""",ｶﾞﾗｽﾗｲﾅｰ,個,712122,ｸﾚﾄｲｼ,"
"
712122I008002,"""ｶﾞﾗｽﾗｲﾅｰ 3.0mm L=53 ｶｯﾄ 50","000個~""",ｶﾞﾗｽﾗｲﾅｰ,個,712122,ｸﾚﾄｲｼ,"
"
714062I001001,LEDｲﾚｰｻﾚﾝｽﾞ MCS-0264HK 321L /500本,LEDｲﾚｰｻ,本,714062,ｺｰﾃﾞﾝｼDH㈱,"
",
714062I001002,LEDｲﾚｰｻﾚﾝｽﾞ MCS-0264HK 321L /1000本,LEDｲﾚｰｻ,本,714062,ｺｰﾃﾞﾝｼDH㈱,"
",
714062I001003,LEDｲﾚｰｻﾚﾝｽﾞ MCS-0264HK 321L /1500本,LEDｲﾚｰｻ,本,714062,ｺｰﾃﾞﾝｼDH㈱,"
",
714062I001004,LEDｲﾚｰｻﾚﾝｽﾞ MCS-0264HK 321L /3000本,LEDｲﾚｰｻ,本,714062,ｺｰﾃﾞﾝｼDH㈱,"
",
714062I001005,LEDｲﾚｰｻﾚﾝｽﾞ MCS-0264HK 321L /4500本,LEDｲﾚｰｻ,本,714062,ｺｰﾃﾞﾝｼDH㈱,"
",
714101I001001,H型救急箱 仕切り板L=213.5 (金剛化学),,本,714101,金剛化学,"
",
720092I001001,110000AA押縁3-12-3W L=4090(4800本),ｵｼﾌﾞﾁ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I002001,110020AA押縁5-12-5W L=4110 (4800本),ｵｼﾌﾞﾁ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I003001,11010000開き押縁ｱﾀｯﾁﾒﾝﾄ L=4000,ｵｼﾌﾞﾁｱﾀｯﾁﾒ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I004001,114100LLｽﾛｰﾌﾟ型見切縁(上)L=3600白木,ｽﾛｰﾌﾟｶﾞﾀﾐｷ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I004002,114100MMｽﾛｰﾌﾟ型見切縁(上)L=3600ﾁｪﾘｰ,ｽﾛｰﾌﾟｶﾞﾀﾐｷ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I004003,114100NNｽﾛｰﾌﾟ型見切縁(上)L=3600ｳｫｰﾙ,ｽﾛｰﾌﾟｶﾞﾀﾐｷ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I004004,114100RRｽﾛｰﾌﾟ型見切縁(上)L=3600ｸﾘｰﾐｰ,ｽﾛｰﾌﾟｶﾞﾀﾐｷ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I004005,114100BBｽﾛｰﾌﾟ型見切縁(上)L=3600ﾌﾞﾗｯｸ,ｽﾛｰﾌﾟｶﾞﾀﾐｷ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005001,130030AA NA押縁31mm用 W L=4000,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005002,130030FF NA押縁31mm用 CK L=4000 X,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005003,130030JJ NA押縁31mm用 RSK L=4000 X,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005004,130030KK NA押縁31mm用 BHK L=4000 X,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005005,130030ZZ NA押縁31mm用 OBK L=4000 X,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005011,130030FF NA押縁31mm用 CK L=4000,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005012,130030JJ NA押縁31mm用 RSK L=4000,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005013,130030KK NA押縁31mm用 BHK L=4000,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I005014,130030ZZ NA押縁31mm用 OBK L=4000,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006001,12A000 NA上枠ﾚｰﾙｶﾊﾞｰ　800m以下,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006002,12A000** NA上枠ﾚｰﾙｶﾊﾞｰ L=3500 （　),NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006003,12A000FA NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　CW,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006004,12A000FL NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　CS,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006005,12A000FM NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　CC,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006006,12A000FS NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　CL,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006007,12A000FT NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　CM,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006008,12A000GA NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　FW,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006009,12A000GL NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　FS,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006010,12A000GM NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　FC,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006011,12A000GN NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　FU,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006012,12A000HA NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　RW,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006013,12A000HL NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　RS,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006014,12A000HM NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　RC,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006015,12A000HN NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　RU,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006016,12A000JA NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　LW,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006017,12A000JQ NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　RSR,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006018,12A000JS NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　LL,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006019,12A000JT NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　LM,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006020,12A000JU NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　LD,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006021,12A000KA NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　BH,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006022,12A000KS NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　BL,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006023,12A000KT NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　BM,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I006024,12A000LA NA上枠ﾚｰﾙｶﾊﾞｰ L=3000　TW,NAｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007001,X 13F05099上枠ﾚｰﾙｶﾊﾞｰ(白) L=2000 X,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007002,X 13F12099上枠ﾚｰﾙｶﾊﾞｰ (白) L=3500 X,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007003,13F13099上枠ﾚｰﾙｶﾊﾞｰ(黒) L=2000,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007004,13F13099上枠ﾚｰﾙｶﾊﾞｰ (黒) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007005,13F14099上枠ﾚｰﾙｶﾊﾞｰ(ﾌｧｲﾝｸﾞﾚｰ) L=2000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007006,13F1409上枠ﾚｰﾙｶﾊﾞｰ (ﾌｧｲﾝｸﾞﾚｰ) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007007,13F15099上枠ﾚｰﾙｶﾊﾞｰ(白木) L=2000,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007008,13F15099上枠ﾚｰﾙｶﾊﾞｰ (白木) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007009,13F16099上枠ﾚｰﾙｶﾊﾞｰ(ﾁｪﾘｰ) L=2000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007010,13F16099上枠ﾚｰﾙｶﾊﾞｰ (ﾁｪﾘｰ) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007011,13F17099上枠ﾚｰﾙｶﾊﾞｰ(ｳｫｰﾙﾅｯﾄ) L=2000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007012,13F17099上枠ﾚｰﾙｶﾊﾞｰ (ｳｫｰﾙﾅｯﾄ) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007013,13F18099上枠ﾚｰﾙｶﾊﾞｰ(ﾘｰｾﾝﾄｼﾙﾊﾞ)L=2000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007014,13F18099上枠ﾚｰﾙｶﾊﾞｰ(ﾘｰｾﾝﾄｼﾙﾊﾞ)L=3000,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007015,13F18099上枠ﾚｰﾙｶﾊﾞ(ﾘｰｾﾝﾄｼﾙﾊﾞ)L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007016,上枠ﾚｰﾙｶﾊﾞｰ (ﾀﾞｰｸｳｯﾄﾞ) L=3500,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007017,13F05099上枠ﾚｰﾙｶﾊﾞｰ W L=2000 栗･東,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007018,13F05099上枠ﾚｰﾙｶﾊﾞｰ W L=2000 相,ｳﾜﾜｸﾚｰﾙｶﾊﾞ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007019,13F12099上枠ﾚｰﾙｶﾊﾞｰ W L=3500 栗･東,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I007020,13F12099上枠ﾚｰﾙｶﾊﾞｰ W L=3500 相,ｳﾜﾜｸﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I008001,13F02099ﾚｰﾙｶﾊﾞｰ(小),ﾚｰﾙｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I009001,175100AA補助縦枠(白) L=3650　道内,ﾎｼﾞｮﾀﾃﾜｸ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I009002,175100AA補助縦枠(白) L=3650　道外,ﾎｼﾞｮﾀﾃﾜｸ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I009003,175100AA補助縦枠 L=3650　色物道内,ﾎｼﾞｮﾀﾃﾜｸ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I009004,175100AA補助縦枠 L=3650　色物　道外,ﾎｼﾞｮﾀﾃﾜｸ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010001,1770　ｶﾞｲﾄﾞﾚｰﾙAT,ｶﾞｲﾄﾞﾚｰﾙ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010002,177020AA ｶﾞｲﾄﾞﾚｰﾙAT L=1760 W,31mm,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010003,177020MMｶﾞｲﾄﾞﾚｰﾙAT(ﾁｪﾘｰ),ｶﾞｲﾄﾞﾚｰﾙ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010004,177010　ｶﾞｲﾄﾞﾚｰﾙAT(色物),ｶﾞｲﾄﾞﾚｰﾙ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I010005,17700 ｶﾞｲﾄﾞﾚｰﾙAT木粉入,ｶﾞｲﾄﾞﾚｰﾙ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I011001,178000AA水切りｶﾊﾞｰ(W) L=2500　道内,ﾐｽﾞｷﾘｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I011002,178000AA水切りｶﾊﾞｰ(W) L=2500　道外,ﾐｽﾞｷﾘｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012001,179000AA枠ｶﾊﾞｰ(白) L=1600,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012002,179000枠ｶﾊﾞｰL=1600 色物,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012003,179000　枠ｶﾊﾞｰL=1600 新色,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012004,枠ｶﾊﾞｰL=1600　(木粉入り),ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I012005,179000BB 枠ｶﾊﾞｰ L=1600 ｽﾁｰﾙﾌﾞﾗｯｸ,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I013001,ｱｸｾﾝﾄｻｯｼ丸窓額縁用枠ｶﾊﾞｰ 白,ｱｸｾﾝﾄﾏﾙﾏﾄﾞ,式,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014001,179100AA内部ｶﾊﾞ- L=3650　道内,ﾜｸｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014002,179100AA内部ｶﾊﾞｰ L=3650　道外,ﾅｲﾌﾞｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014003,179100AA内部ｶﾊﾞｰ L=3650 色物　道内,ﾅｲﾌﾞｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014004,179100AA内部ｶﾊﾞｰ L=3650 色物　道外,ｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014005,179100BB 内部ｶﾊﾞｰ L=3650 ｽﾁｰﾙﾌﾞﾗｯｸ I,ﾅｲﾌﾞｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I014006,179100BB 内部ｶﾊﾞｰ L=3650 ｽﾁｰﾙﾌﾞﾗｯｸ O,ｶﾊﾞｰ,本,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015001,20043000戸当り気密材 枠用 ひれ式 I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015002,20043000戸当り気密材 枠用 ひれ式 O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015003,20043000戸当り気密材 ひれ状(ｼﾘｺﾝ) I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015004,20043000戸当り気密材 ひれ状(ｼﾘｺﾝ) O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015005,20043000戸当り気密材 ひれ状(袋付) I,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015006,20043000戸当り気密材枠用 ﾋﾚ式 袋付 O,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I015007,MK20043000戸当り気密材 枠用 ひれ式,ﾄｱﾀﾘｷﾐﾂｻﾞｲ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I016001,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E　I,3-E,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I016002,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E　O,3-E,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I016003,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E(袋付) I,ｶﾞﾗｽﾋﾞｰﾄﾞ3,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I016004,20044000ｶﾞﾗｽﾋﾞｰﾄﾞ3-E(袋付) O,ｶﾞﾗｽﾋﾞｰﾄﾞ3,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I017001,20044100ｶﾞﾗｽﾋﾞｰﾄﾞ4.5ﾐﾘC　I,4.5,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I017002,20044100ｶﾞﾗｽﾋﾞｰﾄﾞ4.5ﾐﾘC　O,4.5,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I018001,20044200開き用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A I,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I018002,20044200開き用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ(3)-A O,ｶﾞﾗｽｵｻｴﾋﾞｰ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
720092I019001,20044300開きﾄﾘﾌﾟﾙ用ｶﾞﾗｽ押えﾋﾞｰﾄﾞ I X,ﾄﾘﾌﾟﾙﾖｳﾋﾗｷ,ｍ,720092,ｻﾝ･ｱﾛｰ化成,"
",
